title,author,genres,available
The Hunger Games,Suzanne Collins,Young Adult,True
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",Fantasy,True
To Kill a Mockingbird,Harper Lee,Classics,True
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",Classics,True
Twilight,Stephenie Meyer,Young Adult,True
The Book Thief,Markus Zusak (Goodreads Author),Historical Fiction,True
Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",Classics,True
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",Fantasy,True
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Fantasy,True
Gone with the Wind,Margaret Mitchell,Classics,True
The Fault in Our Stars,John Green (Goodreads Author),Young Adult,True
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,True
The Giving Tree,Shel Silverstein,Childrens,True
Wuthering Heights,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)",Classics,True
The Da Vinci Code,Dan Brown (Goodreads Author),Fiction,True
Memoirs of a Geisha,Arthur Golden,Fiction,True
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)",Classics,True
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",Classics,True
Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",Classics,True
Les Misérables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",Classics,True
Fahrenheit 451,Ray Bradbury,Classics,True
Divergent,Veronica Roth (Goodreads Author),Young Adult,True
Lord of the Flies,William Golding,Classics,True
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",Classics,True
The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",Fiction,True
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)",Classics,True
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,True
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",Classics,True
City of Bones,Cassandra Clare (Goodreads Author),Fantasy,True
Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",Science Fiction,True
The Help,Kathryn Stockett (Goodreads Author),Fiction,True
Anne of Green Gables,L.M. Montgomery,Classics,True
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",Fantasy,True
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",Classics,True
Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",Classics,True
